match_id,year,tournament_id,tournament_name,stage_name,knockout_stage,team_a_id,team_b_id,team_a_name,team_b_name,team_a_elo_pre,team_b_elo_pre,team_a_gf_avg,team_a_ga_avg,team_b_gf_avg,team_b_ga_avg,goals_a,goals_b,penalty_shootout,target,elo_diff,matches_played_diff,win_rate_diff,gf_avg_diff,ga_avg_diff,form_points_diff,experience_diff,host_advantage,h2h_played,h2h_a_win_rate,h2h_goal_diff_avg,same_confederation,team_a_conf,team_b_conf
M-1930-01,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-30,T-46,France,Mexico,1500.0,1500.0,,,,,4,1,0,0,0.0,0,,,,,0,0,0,,,0,UEFA,CONCACAF
M-1930-02,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-06,T-83,Belgium,United States,1500.0,1500.0,,,,,0,3,0,2,0.0,0,,,,,0,0,0,,,0,UEFA,CONCACAF
M-1930-03,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-87,T-09,Yugoslavia,Brazil,1500.0,1500.0,,,,,2,1,0,0,0.0,0,,,,,0,0,0,,,0,UEFA,CONMEBOL
M-1930-04,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-61,T-56,Romania,Peru,1500.0,1500.0,,,,,3,1,0,0,0.0,0,,,,,0,0,0,,,0,UEFA,CONMEBOL
M-1930-05,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-30,T-03,France,Argentina,1535.0,1500.0,4.0,1.0,,,0,1,0,2,35.0,1,,,,,1,0,0,,,0,UEFA,CONMEBOL
M-1930-06,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-13,T-46,Chile,Mexico,1500.0,1465.0,,,1.0,4.0,3,0,0,0,35.0,-1,,,,,-1,0,0,,,0,CONMEBOL,CONCACAF
M-1930-07,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-87,T-07,Yugoslavia,Bolivia,1520.0,1500.0,2.0,1.0,,,4,0,0,0,20.0,1,,,,,1,0,0,,,0,UEFA,CONMEBOL
M-1930-08,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-83,T-55,United States,Paraguay,1535.0,1500.0,3.0,0.0,,,3,0,0,0,35.0,1,,,,,1,0,0,,,0,CONCACAF,CONMEBOL
M-1930-09,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-56,T-84,Peru,Uruguay,1470.0,1500.0,1.0,3.0,,,0,1,0,2,-30.0,1,,,,,1,-1,0,,,1,CONMEBOL,CONMEBOL
M-1930-10,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-30,T-13,France,Chile,1512.9920258698585,1531.4860452722523,2.0,1.0,3.0,0.0,0,1,0,2,-18.49401940239386,1,-0.5,-1.0,1.0,-1.5,0,0,0,,,0,UEFA,CONMEBOL
M-1930-11,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-46,T-03,Mexico,Argentina,1433.5139547277477,1522.0079741301415,0.5,3.5,1.0,0.0,3,6,0,2,-88.49401940239386,1,-1.0,-0.5,3.5,-3.0,0,0,0,,,0,CONCACAF,CONMEBOL
M-1930-12,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-09,T-07,Brazil,Bolivia,1480.0,1464.6562922919202,1.0,2.0,0.0,4.0,4,0,0,0,15.343707708079819,0,0.0,1.0,-2.0,0.0,0,0,0,,,1,CONMEBOL,CONMEBOL
M-1930-13,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-55,T-06,Paraguay,Belgium,1468.5139547277477,1465.0,0.0,3.0,0.0,3.0,1,0,0,0,3.5139547277476595,0,0.0,0.0,0.0,0.0,0,0,0,,,0,CONMEBOL,UEFA
M-1930-14,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-84,T-61,Uruguay,Romania,1518.2773403191115,1530.0,1.0,0.0,3.0,1.0,4,0,0,0,-11.722659680888455,0,0.0,-2.0,-1.0,0.0,0,1,0,,,0,CONMEBOL,UEFA
M-1930-15,1930,WC-1930,1930 FIFA Men's World Cup,group stage,0,T-13,T-03,Chile,Argentina,1550.422448293987,1548.281161878039,2.0,0.0,3.5,1.5,1,3,0,2,2.1412864159478886,0,0.0,-1.5,-1.5,0.0,0,0,0,,,1,CONMEBOL,CONMEBOL
M-1930-16,1930,WC-1930,1930 FIFA Men's World Cup,semi-finals,1,T-83,T-03,United States,Argentina,1566.4860452722523,1578.4660530688695,3.0,0.0,3.3333333333333335,1.3333333333333333,1,6,0,2,-11.980007796617201,-1,0.0,-0.3333333333333335,-1.3333333333333333,0.0,0,0,0,,,0,CONCACAF,CONMEBOL
M-1930-17,1930,WC-1930,1930 FIFA Men's World Cup,semi-finals,1,T-84,T-87,Uruguay,Yugoslavia,1557.042130154791,1555.3437077080798,2.5,0.0,3.0,0.5,6,1,0,0,1.69842244671122,0,0.0,-0.5,-0.5,0.0,0,1,0,,,0,CONMEBOL,UEFA
M-1930-18,1930,WC-1930,1930 FIFA Men's World Cup,final,1,T-03,T-84,Argentina,Uruguay,1617.0873500627551,1596.8465936019954,4.0,1.25,3.6666666666666665,0.3333333333333333,2,4,0,2,20.240756460759712,1,0.0,0.3333333333333335,0.9166666666666667,0.0,0,-1,0,,,1,CONMEBOL,CONMEBOL
M-1934-01,1934,WC-1934,1934 FIFA Men's World Cup,round of 16,1,T-05,T-30,Austria,France,1500.0,1494.055622848124,,,1.3333333333333333,1.0,3,2,0,0,5.944377151876097,-3,,,,,-1,0,0,,,1,UEFA,UEFA
M-1934-02,1934,WC-1934,1934 FIFA Men's World Cup,round of 16,1,T-21,T-61,Czechoslovakia,Romania,1500.0,1491.2352101643205,,,1.5,2.5,2,1,0,0,8.764789835679494,-2,,,,,-1,0,0,,,1,UEFA,UEFA
M-1934-03,1934,WC-1934,1934 FIFA Men's World Cup,round of 16,1,T-31,T-06,Germany,Belgium,1500.0,1445.2022725973973,,,0.0,2.0,5,2,0,0,54.79772740260273,-2,,,,,-1,0,0,,,1,UEFA,UEFA
M-1934-04,1934,WC-1934,1934 FIFA Men's World Cup,round of 16,1,T-26,T-36,Egypt,Hungary,1500.0,1500.0,,,,,2,4,0,2,0.0,0,,,,,0,0,0,,,0,CAF,UEFA
M-1934-05,1934,WC-1934,1934 FIFA Men's World Cup,round of 16,1,T-41,T-83,Italy,United States,1500.0,1527.8647482783667,,,2.3333333333333335,2.0,7,1,0,0,-27.864748278366733,-3,,,,,-1,1,0,,,0,UEFA,CONCACAF
M-1934-06,1934,WC-1934,1934 FIFA Men's World Cup,round of 16,1,T-73,T-09,Spain,Brazil,1500.0,1515.84497303946,,,2.5,1.0,3,1,0,0,-15.844973039460001,-2,,,,,-1,0,0,,,0,UEFA,CONMEBOL
M-1934-07,1934,WC-1934,1934 FIFA Men's World Cup,round of 16,1,T-74,T-03,Sweden,Argentina,1500.0,1585.3415972091386,,,3.6,1.8,3,2,0,0,-85.34159720913863,-5,,,,,-1,0,0,,,0,UEFA,CONMEBOL
M-1934-08,1934,WC-1934,1934 FIFA Men's World Cup,round of 16,1,T-48,T-75,Netherlands,Switzerland,1500.0,1500.0,,,,,2,3,0,2,0.0,0,,,,,0,0,0,,,1,UEFA,UEFA
M-1934-09,1934,WC-1934,1934 FIFA Men's World Cup,quarter-finals,1,T-36,T-05,Hungary,Austria,1530.0,1519.6578475297804,4.0,2.0,3.0,2.0,1,2,0,2,10.342152470219617,0,0.0,1.0,0.0,0.0,0,0,0,,,1,UEFA,UEFA
M-1934-10,1934,WC-1934,1934 FIFA Men's World Cup,quarter-finals,1,T-75,T-21,Switzerland,Czechoslovakia,1520.0,1519.4955651434825,3.0,2.0,2.0,1.0,2,3,0,2,0.5044348565174914,0,0.0,1.0,1.0,0.0,0,0,0,,,1,UEFA,UEFA
M-1934-11,1934,WC-1934,1934 FIFA Men's World Cup,quarter-finals,1,T-74,T-31,Sweden,Germany,1524.8161823671408,1529.5251034868093,3.0,2.0,5.0,2.0,1,2,0,2,-4.708921119668503,0,0.0,-2.0,0.0,0.0,0,0,0,,,1,UEFA,UEFA
M-1934-13,1934,WC-1934,1934 FIFA Men's World Cup,quarter-finals,1,T-41,T-73,Italy,Spain,1545.9012612404947,1531.367217209249,7.0,1.0,3.0,1.0,1,0,0,0,14.534044031245685,0,0.0,4.0,0.0,0.0,0,1,0,,,1,UEFA,UEFA
M-1934-14,1934,WC-1934,1934 FIFA Men's World Cup,semi-finals,1,T-21,T-31,Czechoslovakia,Germany,1539.5246027276044,1549.2540527940173,2.5,1.5,3.5,1.5,3,1,0,0,-9.729450066412937,0,0.0,-1.0,0.0,0.0,0,0,0,,,1,UEFA,UEFA
M-1934-15,1934,WC-1934,1934 FIFA Men's World Cup,semi-finals,1,T-41,T-05,Italy,Austria,1565.065102099531,1540.25301390437,4.0,0.5,2.5,1.5,1,0,0,0,24.812088195161095,0,0.0,1.5,-1.0,0.0,0,1,0,,,1,UEFA,UEFA
M-1934-16,1934,WC-1934,1934 FIFA Men's World Cup,third-place match,1,T-05,T-31,Austria,Germany,1521.6788893062094,1518.4141640793096,1.6666666666666667,1.3333333333333333,2.6666666666666665,2.0,2,3,0,2,3.2647252268998272,0,0.0,-0.9999999999999998,-0.6666666666666667,0.0,0,0,0,,,1,UEFA,UEFA
M-1934-17,1934,WC-1934,1934 FIFA Men's World Cup,final,1,T-21,T-41,Czechoslovakia,Italy,1570.364491442312,1583.6392266976916,2.6666666666666665,1.3333333333333333,3.0,0.3333333333333333,1,2,0,2,-13.274735255379483,0,0.0,-0.3333333333333335,1.0,0.0,0,-1,0,,,1,UEFA,UEFA
M-1938-03,1938,WC-1938,1938 FIFA Men's World Cup,round of 16,1,T-06,T-30,Belgium,France,1415.677169110588,1474.3977753183435,0.6666666666666666,3.0,1.5,1.5,1,3,0,2,-58.72060620775551,-1,-0.25,-0.8333333333333334,1.5,-0.75,0,-1,0,,,1,UEFA,UEFA
M-1938-04,1938,WC-1938,1938 FIFA Men's World Cup,round of 16,1,T-23,T-36,Dutch East Indies,Hungary,1500.0,1509.4048336254104,,,2.5,2.0,0,6,0,2,-9.404833625410447,-2,,,,,-1,0,0,,,0,AFC,UEFA
M-1938-05,1938,WC-1938,1938 FIFA Men's World Cup,round of 16,1,T-53,T-41,Norway,Italy,1500.0,1602.8754431391633,,,2.75,0.5,1,2,0,2,-102.87544313916328,-4,,,,,-1,0,0,,,1,UEFA,UEFA
M-1938-06,1938,WC-1938,1938 FIFA Men's World Cup,round of 16,1,T-57,T-09,Poland,Brazil,1500.0,1484.477755830211,,,2.0,1.6666666666666667,5,6,0,2,15.522244169789019,-3,,,,,-2,0,0,,,0,UEFA,CONMEBOL
M-1938-07,1938,WC-1938,1938 FIFA Men's World Cup,round of 16,1,T-48,T-21,Netherlands,Czechoslovakia,1480.0,1551.1282750008404,2.0,3.0,2.25,1.5,0,3,0,2,-71.1282750008404,-3,-0.75,-0.25,1.5,-2.25,0,0,0,,,1,UEFA,UEFA
M-1938-08,1938,WC-1938,1938 FIFA Men's World Cup,round of 16,1,T-19,T-61,Cuba,Romania,1500.0,1471.739645020838,,,1.3333333333333333,2.3333333333333335,2,1,0,0,28.260354979162003,-3,,,,,-2,0,0,,,0,CONCACAF,UEFA
M-1938-09,1938,WC-1938,1938 FIFA Men's World Cup,round of 16,1,T-31,T-75,Germany,Switzerland,1538.602091239228,1499.9709624158781,2.75,2.0,2.5,2.5,2,4,0,2,38.631128823349854,2,0.25,0.25,-0.5,0.75,0,0,0,,,1,UEFA,UEFA
M-1938-11,1938,WC-1938,1938 FIFA Men's World Cup,quarter-finals,1,T-36,T-75,Hungary,Switzerland,1550.7546698345425,1533.2929634470386,3.6666666666666665,1.3333333333333333,3.0,2.3333333333333335,2,0,0,0,17.46170638750391,0,0.0,0.6666666666666665,-1.0000000000000002,0.0,0,0,0,,,1,UEFA,UEFA
M-1938-12,1938,WC-1938,1938 FIFA Men's World Cup,quarter-finals,1,T-41,T-30,Italy,France,1617.1206647404756,1499.3751632189687,2.6,0.6,1.8,1.4,3,1,0,0,117.74550152150687,0,0.6,0.8,-0.7999999999999999,1.8,-1,-1,0,,,1,UEFA,UEFA
M-1938-13,1938,WC-1938,1938 FIFA Men's World Cup,quarter-finals,1,T-19,T-74,Cuba,Sweden,1518.376781449305,1505.0872330599327,2.0,1.0,2.0,2.0,0,8,0,2,13.289548389372385,-1,0.5,0.0,-1.0,1.5,0,0,0,,,0,CONCACAF,UEFA
M-1938-14,1938,WC-1938,1938 FIFA Men's World Cup,quarter-finals,1,T-09,T-21,Brazil,Czechoslovakia,1505.3706940087488,1579.0614014957953,3.0,2.5,2.4,1.2,2,1,0,0,-73.69070748704644,-1,-0.30000000000000004,0.6000000000000001,1.3,-0.8999999999999999,1,0,0,,,0,CONMEBOL,UEFA
M-1938-15,1938,WC-1938,1938 FIFA Men's World Cup,semi-finals,1,T-36,T-74,Hungary,Sweden,1579.248173135174,1554.4032412468532,3.25,1.0,4.0,1.3333333333333333,5,1,0,0,24.844931888320843,1,0.08333333333333337,-0.75,-0.33333333333333326,0.25,0,0,0,,,1,UEFA,UEFA
M-1938-16,1938,WC-1938,1938 FIFA Men's World Cup,semi-finals,1,T-09,T-41,Brazil,Italy,1529.550186473407,1637.3258468104414,2.8,2.2,2.6666666666666665,0.6666666666666666,1,2,0,2,-107.77566033703442,-1,-0.4,0.1333333333333333,1.5333333333333337,-1.2,1,0,0,,,0,CONMEBOL,UEFA
M-1938-17,1938,WC-1938,1938 FIFA Men's World Cup,third-place match,1,T-74,T-09,Sweden,Brazil,1519.580284523836,1515.5626269303893,3.25,2.25,2.5,2.1666666666666665,2,4,0,2,4.017657593446756,-2,0.0,0.75,0.08333333333333348,-0.30000000000000004,-1,0,0,,,0,UEFA,CONMEBOL
